"dbn","grade","year","subject","n","score"
"01M015","3",2006,"ELA",37,651
"01M015","3",2007,"ELA",33,635
"01M015","3",2008,"ELA",39,646
"01M015","3",2009,"ELA",33,644
"01M015","3",2010,"ELA",25,652
"01M015","3",2011,"ELA",28,647
"01M015","3",2012,"ELA",21,651
"01M015","4",2006,"ELA",46,621
"01M015","4",2007,"ELA",42,648
"01M015","4",2008,"ELA",41,633
"01M015","4",2009,"ELA",38,637
"01M015","4",2010,"ELA",28,647
"01M015","4",2011,"ELA",27,660
"01M015","4",2012,"ELA",21,655
"01M015","5",2006,"ELA",28,625
"01M015","5",2007,"ELA",48,637
"01M015","5",2008,"ELA",36,643
"01M015","5",2009,"ELA",41,658
"01M015","5",2010,"ELA",35,656
"01M015","5",2011,"ELA",25,656
"01M015","5",2012,"ELA",21,658
"01M015","6",2006,"ELA",36,639
"01M015","All Grades",2006,"ELA",147,NA
"01M015","All Grades",2007,"ELA",123,NA
"01M015","All Grades",2008,"ELA",116,NA
"01M015","All Grades",2009,"ELA",112,NA
"01M015","All Grades",2010,"ELA",88,NA
"01M015","All Grades",2011,"ELA",80,654
"01M015","All Grades",2012,"ELA",63,655
"01M019","3",2006,"ELA",56,654
"01M019","3",2007,"ELA",44,656
"01M019","3",2008,"ELA",48,659
"01M019","3",2009,"ELA",46,668
"01M019","3",2010,"ELA",35,655
"01M019","3",2011,"ELA",34,657
"01M019","3",2012,"ELA",47,654
"01M019","4",2006,"ELA",54,644
"01M019","4",2007,"ELA",48,650
"01M019","4",2008,"ELA",49,646
"01M019","4",2009,"ELA",42,664
"01M019","4",2010,"ELA",40,664
"01M019","4",2011,"ELA",39,663
"01M019","4",2012,"ELA",37,670
"01M019","5",2006,"ELA",61,652
"01M019","5",2007,"ELA",51,654
"01M019","5",2008,"ELA",63,656
"01M019","5",2009,"ELA",41,673
"01M019","5",2010,"ELA",38,670
"01M019","5",2011,"ELA",39,668
"01M019","5",2012,"ELA",36,668
"01M019","6",2006,"ELA",45,649
"01M019","7",2006,"ELA",1,NA
"01M019","All Grades",2006,"ELA",217,NA
"01M019","All Grades",2007,"ELA",143,NA
"01M019","All Grades",2008,"ELA",160,NA
"01M019","All Grades",2009,"ELA",129,NA
"01M019","All Grades",2010,"ELA",113,NA
"01M019","All Grades",2011,"ELA",112,663
"01M019","All Grades",2012,"ELA",120,663
"01M020","3",2006,"ELA",74,667
"01M020","3",2007,"ELA",105,657
"01M020","3",2008,"ELA",81,663
"01M020","3",2009,"ELA",98,660
"01M020","3",2010,"ELA",88,657
"01M020","3",2011,"ELA",80,657
"01M020","3",2012,"ELA",84,654
"01M020","4",2006,"ELA",74,666
"01M020","4",2007,"ELA",102,657
"01M020","4",2008,"ELA",95,663
"01M020","4",2009,"ELA",77,666
"01M020","4",2010,"ELA",91,667
"01M020","4",2011,"ELA",94,657
"01M020","4",2012,"ELA",81,660
"01M020","5",2006,"ELA",82,657
"01M020","5",2007,"ELA",90,662
"01M020","5",2008,"ELA",96,666
"01M020","5",2009,"ELA",82,670
"01M020","5",2010,"ELA",73,679
"01M020","5",2011,"ELA",80,666
"01M020","5",2012,"ELA",83,659
"01M020","6",2006,"ELA",101,657
"01M020","All Grades",2006,"ELA",331,NA
"01M020","All Grades",2007,"ELA",297,NA
"01M020","All Grades",2008,"ELA",272,NA
"01M020","All Grades",2009,"ELA",257,NA
"01M020","All Grades",2010,"ELA",252,NA
"01M020","All Grades",2011,"ELA",254,660
"01M020","All Grades",2012,"ELA",248,658
"01M034","3",2006,"ELA",31,657
"01M034","3",2007,"ELA",44,645
